track_id,track_name,artist_names,album_name,duration_ms,popularity,explicit
0RGtMGYaz9esrHsFiC8TJR,Seer,Witch,Witch,477920,42,False
34WmTDrVvUoYTfSdfbyZhE,Another Dimension,Pop Money,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),179333,0,False
0cbAF0iJ9bqLtpNuEzeTA4,Slouch,Dance Gavin Dance,Artificial Selection,190956,0,False
2c8sgbZoEanC3QyFNZxUcA,Flexicution,Logic,Bobby Tarantino,218946,60,True
3ddFdBlBbu15hcJmEK0tLd,Watching Me (with Rae Sremmurd & Kodak Black),"Mike WiLL Made-It, Rae Sremmurd, Kodak Black",Creed II: The Album,257251,39,True
7o2Vk2ozntHju6LqFsXMjc,Weather Strike,"Tom Morello, Pussy Riot",Weather Strike,211026,27,True
4QbCUutUlQDSBS4mtVOuZI,Doomsday Pt. 2 (with Eminem),"Lyrical Lemonade, Eminem",All Is Yellow,110520,71,True
59N5Xs2k47ESLEeRB84hWW,fafo,Zack Fox,shut the fuck up talking to me,158466,57,True
1GzE0fPtJ4kWRz5vqJ2Pwb,Tore A Hole,Tiger Trap,Tiger Trap,118173,20,False
4EFxQ2V4NhYkN46eslYEWs,Top O' the Morning to Ya,House Of Pain,House of Pain (Fine Malt Lyrics),216319,53,True
1v3rQg6uPY6AnOY5TtxN7I,La Carencia,Panteon Rococo,Compañeros Musicales,213720,65,False
2gTTLirnoym2z5Bk0zkw6J,Rabbit Hole,False Heads,It's All There but You're Dreaming,239000,32,False
0cOXDRG1giESc1QVrHpbGE,Amateur (Rock Me Amadeus),Molotov,Con Todo Respeto,259600,58,True
7rtcBPsHDLeYW9cHDrO0NB,Lotus 72 D - Fast Version,Zé Roberto,Lotus 72 D,180490,55,False
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,"Majestic, Boney M.",Rasputin,186209,80,False
5K01nzQ7g6KY25WZYlGVPL,Free Love,Cage The Elephant,Cage The Elephant (Expanded Edition),208533,37,False
1Qdnvn4XlmZANCVy3XjrQo,Show Me How to Live,Audioslave,Audioslave,277840,70,False
